id,name,customerId,customerName,priority,targetBillingEntity,status,remark,createdAt,createdBy
rule-001,应用材料（中国）有限公司-FWD-8635,cust-001,应用材料（中国）有限公司,1,FWD-8635,active,Plant=8635且Location≠0002/0004,2024-01-15 10:00:00,管理员
rule-002,应用材料（中国）有限公司-FWD-8639&8641,cust-001,应用材料（中国）有限公司,2,FWD-8639&8641,active,Plant=8639/8641且Location≠0002/0004,2024-01-16 11:00:00,管理员
rule-003,应用材料（中国）有限公司-FWD-8644,cust-001,应用材料（中国）有限公司,3,FWD-8644,active,Plant=8644且Location≠0002/0004,2024-01-17 09:30:00,管理员
rule-004,应用材料（中国）有限公司-TKM-8603,cust-001,应用材料（中国）有限公司,4,TKM-8603,active,Plant=8603/8642且Location不为空,2024-01-18 14:20:00,管理员
rule-005,应用材料（中国）有限公司-RVC-35830,cust-001,应用材料（中国）有限公司,5,RVC-35830,active,Plant为多个值且Location=0002/0004,2024-01-19 16:45:00,管理员
rule-006,应用材料（中国）有限公司-FWD,cust-001,应用材料（中国）有限公司,6,FWD,active,Plant=8646/8645/8655/8601/8661且Location≠0002/0004,2024-01-20 08:00:00,管理员
rule-007,应用材料（中国）有限公司-FWD-其他,cust-001,应用材料（中国）有限公司,7,FWD,active,Plant=8634/8693且Location不为空,2024-01-21 09:00:00,管理员
rule-008,飞雅贸易（上海）有限公司-物流部,cust-002,飞雅贸易（上海）有限公司,8,物流部,active,部门=物流部,2024-02-01 10:00:00,管理员
rule-009,飞雅贸易（上海）有限公司-Sales Operations Analyst部门,cust-002,飞雅贸易（上海）有限公司,9,Sales Operations Analyst部门,active,部门=Sales Operations Analyst部门,2024-02-01 10:05:00,管理员
rule-010,飞雅贸易（上海）有限公司-工程师部门,cust-002,飞雅贸易（上海）有限公司,10,工程师部门,active,部门=工程师部门,2024-02-01 10:10:00,管理员
rule-011,飞雅贸易（上海）有限公司-NNP实验室部门,cust-002,飞雅贸易（上海）有限公司,11,NNP 实验室部门,active,部门=NNP 实验室部门,2024-02-01 10:15:00,管理员
rule-012,飞雅贸易（上海）有限公司-TMF部门,cust-002,飞雅贸易（上海）有限公司,12,TMF部门,active,部门=TMF部门,2024-02-01 10:20:00,管理员
rule-013,上海荏原精密机械有限公司-CMP部门,cust-008,上海荏原精密机械有限公司,13,CMP部门,active,部门=CMP部门,2024-02-02 09:00:00,管理员
rule-014,上海荏原精密机械有限公司-COMP部门,cust-008,上海荏原精密机械有限公司,14,COMP部门,active,部门=COMP部门,2024-02-02 09:05:00,管理员
